RR,DET,LMAX,ENT,LAM,TT,VMAX,RATIO,AN,DIV,AD,Tau,Dimension
0.862696424330184,35.6127886323268,121,2.52998440658315,22.202486678508,3.5377358490566,9,41.2807884998217,1129.38811188811,0.00826446280991736,7.07647058823529,7,5
1.80907674616065,27.4841437632135,150,2.17058213225813,30.5567300916138,3.55118755118755,8,15.1923592083875,1314.01722463252,0.00666666666666667,5.47752808988764,9,4
1.89445400287297,36.9377736499934,179,2.10105353626568,32.592543452302,3.50678087080657,11,19.4978466587083,1220.5069784525,0.00558659217877095,5.21348314606742,6,4
0.815705263265426,41.8597370068879,150,2.74201366200809,19.4113963681904,3.3695652173913,8,51.3172329418536,1246.58560209424,0.00666666666666667,9.22068965517241,7,5
1.11400028402986,29.851083032491,48,1.91355736880118,16.1439530685921,3.26712328767123,6,26.7962975058729,1225.77799723484,0.0208333333333333,4.59375,6,4
0.440023346106022,29.1810841983852,73,2.11437847705468,9.28489042675894,3.31958762886598,5,66.3171271629623,1378.1350550381,0.0136986301369863,6.24691358024691,6,5
1.51189343601976,31.9700748129676,155,1.94312147251752,23.881961762261,3.42431466030989,8,21.1457196990898,1162.16430935901,0.00645161290322581,5.06052631578947,6,4
0.440023346106022,36.6205305651672,92,2.1529135485144,11.3898500576701,3.46491228070175,7,83.2240627440338,1306.61261642676,0.0108695652173913,6.75531914893617,6,5
0.241327682898977,35.856992639327,27,2.04616147473882,4.25867507886435,3.24,4,148.582177596,1146.77644078531,0.037037037037037,4.94202898550725,6,5
0.17002055472378,28.0597014925373,19,1.74509721817043,2.6865671641791,3,3,165.037112942749,1316.50770416025,0.0526315789473684,4.27272727272727,6,5
0.864238531855221,28.4044418468732,54,2.26154467325693,19.2285213325541,3.45406824146982,10,32.8664376788416,1262.76514871035,0.0185185185185185,5.55428571428571,7,4
0.224579389448575,35.3672316384181,33,1.98093720561397,7.45762711864407,3.14285714285714,4,157.482090076287,1307.86847323199,0.0303030303030303,4.890625,6,5
6.23033855514761,51.1184967403809,1227,1.85494959453348,68.7289616089309,4.22583180508253,19,8.20477030066784,1176.9835983889,0.000814995925020375,4.37527352297593,13,5
3.2469427549426,50.4295259306395,1244,1.91525879835006,59.8751193127585,4.00505453578079,24,15.5313874425024,1129.17404979347,0.000803858520900322,5.43739279588336,7,6
6.22905284121431,50.3849228050986,1235,1.86687153218581,68.0619241933448,4.08663803990907,15,8.08869728503964,1275.95301160359,0.000809716599190283,4.43592592592593,11,5
11.5781585268215,66.5619260472218,1249,2.17278256833212,81.3170764090195,4.88865238792071,35,5.74892163490656,1211.59505412956,0.000800640512409928,4.52058911932672,10,4
1.10107341335296,41.1385111776907,79,2.2772790531238,20.7651532611201,3.35567970204842,6,37.3621873698838,1292.95107710892,0.0126582278481013,6.28521126760563,6,5
2.98583243997984,43.0002525465107,251,1.97767478363807,42.7561242528832,3.76361615413116,19,14.4014285499561,1301.52837729816,0.00398406374501992,4.92100192678227,6,4
0.774227929048139,39.8230088495575,64,2.36698069023937,16.7649950835792,3.3,7,51.4357689195186,1270.38244088067,0.015625,6.39473684210526,6,5
1.9894942522902,42.7168367346939,120,2.04897918759636,43.1632653061224,3.78100558659218,15,21.4712038929092,1094.35864430798,0.00833333333333333,5.04367469879518,8,4
14.5544564378564,83.1514254234954,409,2.92127586303506,88.4390924115136,5.99935770174004,48,5.71312475862836,1370.81966961853,0.00244498777506112,5.88032627221816,8,3
5.41247690712719,75.6427604871448,483,2.70052897779127,80.4208856329616,4.95116345877621,21,13.9756273855945,1231.43867999365,0.0020703933747412,5.81873653984207,7,4
15.9528247993024,80.6436413325166,915,2.82975071636784,88.5093216478977,5.61732456140351,39,5.05513238859383,1293.67369092238,0.00109289617486339,5.65473568281938,8,3
3.08396985307179,63.852546696289,410,2.33403905334844,60.4994651526372,4.10410270722858,14,20.7046598178282,1157.50152570221,0.0024390243902439,5.49964564138909,8,4
