RR,DET,LMAX,ENT,LAM,TT,VMAX,RATIO,AN,DIV,AD,Tau,Dimension
1.35932164621694,26.5532544378698,99,2.03998141960232,24.9537721893491,3.54664914586071,10,19.5341952449363,1235.30601092896,0.0101010101010101,5.05633802816901,6,4
0.291211728661608,39.982347749338,48,2.3114685852194,6.66372462488967,3.21276595744681,5,137.296488479686,1250.35515082527,0.0208333333333333,5.32941176470588,8,5
1.04733991572285,24.0897034000482,87,2.13215353698769,16.8796720520858,3.28638497652582,6,23.0008453209978,1240.66303778918,0.0114942528735632,5.84210526315789,7,4
0.242872794416224,43.322818086225,35,1.96875963262324,5.46792849631966,3.15151515151515,4,178.376578530983,1178.82878883957,0.0285714285714286,4.73563218390805,7,5
0.741493871364638,33.8983050847458,36,2.17024555023164,23.9491525423729,3.69895287958115,8,45.7162309681126,1197.58922088802,0.0277777777777778,5.05050505050505,6,4
1.0250210194661,29.4507111329083,71,2.17998221746229,16.2089259440902,3.31328320802005,6,28.7318119078653,1325.33552771289,0.0140845070422535,5.11063829787234,6,4
0.692731223552862,24.5283018867925,25,1.92277325436565,8.87155297532656,3.19607843137255,5,35.4081078675685,1312.39002066726,0.04,4.25157232704403,6,4
1.20524173328591,27.8415015641293,96,2.10912629721746,22.2210636079249,3.59359190556492,7,23.1003464244667,1362.12311094729,0.0104166666666667,4.89010989010989,6,4
1.00819410262012,24.5240480961924,52,2.30546999663721,17.8481963927856,3.52722772277228,8,24.3247287724246,1200.78048252732,0.0192307692307692,5.17989417989418,7,4
0.301976806151191,32.8571428571429,33,1.71099279722813,8.10924369747899,3.21666666666667,5,108.806842737095,1271.92904290429,0.0303030303030303,4.65476190476191,6,5
0.240063540222135,34.3617021276596,73,2.00453058652839,5.31914893617021,3.33333333333333,5,143.135863512902,1361.93997445722,0.0136986301369863,5.47457627118644,7,5
0.90085221524436,27.3716517857143,76,1.89519158569706,17.3549107142857,3.44598337950139,7,30.3841754757628,1199.33024911032,0.0131578947368421,5.05670103092783,6,4
5.30557447022131,59.9737978553059,800,2.12342699484533,72.5750885535446,4.33410605621559,17,11.3039216001815,1273.06718474037,0.00125,4.76851851851852,11,4
6.9759179841145,58.5958530374682,1070,2.20195182637506,72.002546380502,4.56544804520817,23,8.39973365095492,1274.22775446333,0.000934579439252336,4.78834720570749,8,4
4.68437251007555,55.3528247966586,1246,1.98724613070047,68.3391954275665,4.17141898691714,15,11.8164865577195,1199.34663513908,0.000802568218298555,4.66512274201019,11,4
4.99999356400787,52.0749665327979,1046,1.95356767390062,67.0270826897333,4.11571293076193,18,10.4150067127398,1281.50752039111,0.000956022944550669,4.6098450319052,11,4
0.976088139073406,35.8974358974359,107,2.44981190694576,22.9199372056515,3.43529411764706,8,36.7768385460693,1334.74258093525,0.00934579439252336,6.2648401826484,7,5
2.46728943773399,39.079054604727,124,2.26594265110762,40.2455175224124,3.88637481554353,22,15.8388610622911,1350.23308126735,0.00806451612903226,5.11466666666667,6,4
3.22436724809002,32.7330838790147,145,1.94343135482262,38.5095104458996,3.76667937476172,12,10.1517852528754,1238.55955122966,0.00689655172413793,4.92840375586854,6,4
1.79039350702723,36.9226449529693,101,1.97988591894446,31.7703214937526,3.63826366559486,12,20.6226423454114,1245.26760381738,0.0099009900990099,4.95291902071563,6,4
1.99367260517418,55.9491371480472,401,2.03769313358296,59.4783962631374,4.32656913638509,21,28.0633525298197,1161.51806939609,0.00249376558603491,5.78791946308725,9,5
4.48611018157343,67.6237122107752,530,2.41950360283414,66.4245904408039,4.16999469871002,21,15.0740194675863,1294.70784287074,0.00188679245283019,5.30565371024735,7,4
1.96361052604867,57.2499353838201,138,2.17330901259175,45.6965624192298,3.68717413972888,9,29.1554433144249,1406.15300023906,0.0072463768115942,5.36969696969697,8,4
3.23013677772984,69.6834001099851,1002,2.27911001103042,64.26663524236,4.09742048585024,14,21.572894556793,1202.35165081979,0.000998003992015968,5.17201166180758,8,4
