LABEL,RR,DET,LMAX,ENT,LAM,TT,VMAX,RATIO,AN,DIV,AD
A,0.230039273744165,48.4916201117318,64,2.37324573981575,5.19553072625698,3.20689655172414,5,210.797136169283,1167.37261356155,0.015625,5.49367088607595
A,1.01324517527854,25.9970089730808,84,2.08838077378145,20.7377866400798,3.45945945945946,7,25.6571751905301,1157.95389421523,0.0119047619047619,5.18905472636816
A,0.683179777074266,26.6372332597498,53,1.97506550608292,15.2501839587932,3.49789029535865,14,38.9900786785938,1155.93729471484,0.0188679245283019,4.49689440993789
A,0.809610765988305,28.0658180689227,71,2.26285383804577,19.046879850978,3.3801652892562,7,34.6658162761241,1346.56074766355,0.0140845070422535,5.68553459119497
A,0.504215832527954,24.7756729810568,39,1.95625071996898,9.07278165503489,3.19298245614035,7,49.1370389082006,1303.35760333713,0.0256410256410256,4.68867924528302
A,0.486118354989563,27.0941054808687,37,1.83901108644566,10.5739400206825,3.46610169491525,8,55.7356150056305,1413.21364522417,0.027027027027027,4.67857142857143
A,0.195396756921359,35.5844155844156,30,1.70219310646095,6.23376623376623,3.31034482758621,5,182.113644796762,1302.30901287554,0.0333333333333333,4.56666666666667
A,0.520051125374046,24.2145964233929,36,1.72600983641906,8.74818753020783,3.26126126126126,6,46.561953704026,1292.17148148148,0.0277777777777778,4.39473684210526
A,1.05141317420959,24.5039445374133,62,2.20407400463033,18.4556538369591,3.47747747747748,8,23.3057233240724,1340.13107602825,0.0161290322580645,5.09950248756219
A,0.202777075464229,46.5994962216625,65,2.03852939423987,6.04534005037783,3.2,5,229.806530718423,1303.75704225352,0.0153846153846154,5.36231884057971
A,0.752302087116733,31.5402606080855,94,2.14753044471371,17.9585699966589,3.359375,9,41.9249941588844,1336.543598234,0.0106382978723404,5.1304347826087
A,0.897692181942923,25.1792371666189,51,2.44480857061298,18.3825638084313,3.43699731903485,7,28.0488542432464,1072.64469042696,0.0196078431372549,5.32121212121212
A,5.86786228983187,61.0094747413003,1249,2.23523895896528,74.2675632013273,4.36085117292655,18,10.3972233375382,1180.46952567154,0.000800640512409928,4.87884078212291
A,1.24987696769664,62.9777404451911,782,2.13974502372027,46.3040739185216,3.70899915895711,11,50.387151754025,1293.64104470676,0.00127877237851662,7.44168734491315
A,12.2478239906616,62.6416658033772,1255,2.10947691649425,78.2067750958251,4.57921873104452,36,5.11451388027284,1268.4610271409,0.000796812749003984,4.47380881917727
A,8.10837469975981,65.8556622851365,989,2.26812858617702,78.5436678463094,4.87976050255202,38,8.12193130234686,1333.7303008707,0.00101112234580384,4.75519050878394
A,1.32840512208885,38.9593188268685,65,1.95832242967442,16.3197729422895,3.33655705996132,6,29.3278896468021,1297.36511156187,0.0153846153846154,4.5054704595186
A,0.524272337401984,48.4511132623427,119,2.15619777179251,15.0774443368829,3.56,6,92.4159254757569,1256.43578322197,0.00840336134453781,5.88823529411765
A,1.58956177712202,43.3902593295383,85,2.23225027414397,20.1533839342188,3.34954007884363,7,27.2969946522609,1142.74708842559,0.0117647058823529,5.05340699815838
A,1.66559120911315,36.2850644427597,98,2.12063702012185,27.0280515542077,3.4814453125,8,21.7850960333057,1204.21994601703,0.0102040816326531,4.90368852459016
A,6.77618967336668,74.3457427202359,448,2.69896093121455,75.9288610394397,4.89881093935791,33,10.9716147723029,994.502647408421,0.00223214285714286,5.42204301075269
A,3.97014310951609,65.3880407124682,432,2.47352218744678,66.4758269720102,4.08841940532081,20,16.4699455180189,1205.7222545032,0.00231481481481481,5.53229278794403
A,0.85769950445171,71.05184297273,146,2.44010157226553,48.2319448606533,4.2244094488189,16,82.840018682476,1188.96945215855,0.00684931506849315,7.07761194029851
A,5.06704952043056,70.7461800919745,403,2.47180721257249,73.7724373238392,4.45809054235769,18,13.9620068457438,1290.72601294654,0.00248138957816377,5.17432188065099
B,1.52289840651285,30.2819237147595,91,2.05606868252074,26.334991708126,3.56053811659193,11,19.8844017337305,1172.15301449058,0.010989010989011,4.90860215053763
B,1.02316847260639,31.9196428571429,67,2.45966833495788,21.7013888888889,3.43137254901961,9,31.1968592775652,1262.29506437768,0.0149253731343284,5.72
B,1.16301428569633,32.4184136589583,95,2.20688253383609,21.3529284633672,3.49116607773852,7,27.8744758836289,1240.4868771396,0.0105263157894737,5.10204081632653
B,1.65013805610469,37.2734196496573,113,2.07128138775547,38.1264280274181,3.86265432098765,12,22.5880613514512,1294.24763757643,0.00884955752212389,4.81692913385827
B,0.527340387160342,30.3145853193518,41,1.82536143912215,10.1763584366063,3.21052631578947,5,57.4858024483802,1438.09270795163,0.024390243902439,4.74626865671642
B,0.882754737705969,27.8473804100228,98,2.04979370715103,14.6924829157175,3.28662420382166,6,31.5459993818785,1190.53318851074,0.0102040816326531,4.79411764705882
B,0.446153092092282,23.830985915493,20,1.81378205122687,5.43661971830986,3.11290322580645,5,53.4143690537592,1290.03283458022,0.05,4.18811881188119
B,2.88194124574556,31.3606911447084,79,1.94287748581257,27.85313174946,3.5177304964539,8,10.8817940653733,1246.00147432222,0.0126582278481013,4.31629013079667
B,0.641017468618447,29.7931583134447,42,2.58360436569988,17.1241050119332,3.444,8,46.4779195138885,1401.45741124025,0.0238095238095238,5.42753623188406
B,0.87973849144957,29.2571428571429,32,2.07631210286391,9.34285714285714,3.25373134328358,5,33.2566360816326,1273.90462357783,0.03125,4.61261261261261
B,0.421269060476994,19.1527446300716,23,1.58887176461421,4.98210023866348,3.27450980392157,5,45.4643989482288,1283.63719115735,0.0434782608695652,3.96296296296296
